1,Pecho,Press de banca,Mancuernos
2,Pecho,Press en banca inclinada,Barra Inclinada
3,Pecho,Press de banca declinada,Selectorizado
4,Pecho,Aperturas planas,Mancuernas
5,Pecho,Push ups,Mancuernas
6,Pecho,Pullover,Mancuernas
7,Pecho,Press,Selectorizado
8,Pecho,Press de banca plano ,Barra
9,Pecho,Bench Press,Barra Libre
10,Tricepts,Push Down,Lazo
11,Tricepts,Arm Extension,Selectorizado
12,Tricepts,Copa,Mancuernas
13,Tricepts,Copa,Lazo
14,Tricepts,Press Frances,Barra Z
15,Pierna,Leg Press,Selectorizado
16,Pierna,Leg Extension,Selectorizado
17,Pierna,Leg Curl,Selectorizado
18,Pierna,Peso Muerto,Barra Libre
19,Pierna,Gluteo,Selectorizado
20,Pierna,Hip Abduction,Selectorizado
21,Pierna,Hip Abduction,Selectorizado
22,Hombro,Press Militar,Mancuernas
23,Hombro,Vuelos Laterales,Mancuernas
24,Hombro,Press,Barra
25,Hombro,Vuelos Posteriores,Selectorizado
26,Espalda,PullDown Abierto,Selectorizado
27,Espalda,PullDown Cerrado,Selectorizado
28,Espalda,Row,Selectorizado
29,Espalda,Pull Over,Polea
30,Biceps,Arm Curl,Selectorizado
31,Biceps,Curl,Barra Z
32,Biceps,Curl,Barra Libre
33,Biceps,Arm Curl,Mancuernas
